species	treatment	depth	time	settlement	condition	
cx	turtle	shallow	3	0	turtle-shallow	
cx	turtle	shallow	3	12	turtle-shallow	
cx	turtle	shallow	3	16	turtle-shallow	
cx	turtle	shallow	3	60	turtle-shallow	
cx	turtle	shallow	3	15	turtle-shallow	
cx	turtle	shallow	3	16	turtle-shallow	
cx	turtle	shallow	3	20	turtle-shallow	
cx	turtle	shallow	3	24	turtle-shallow	
cx	turtle	shallow	3	32	turtle-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	0	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	4	shoal-shallow	
cx	shoal	shallow	3	4	shoal-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shoal	shallow	3	24	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shoal	shallow	3	34	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	8	shoal-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shoal	shallow	3	16	shoal-shallow	
cx	shell	shallow	3	56	shell-shallow	
cx	shell	shallow	3	72	shell-shallow	
cx	shell	shallow	3	75	shell-shallow	
cx	shell	shallow	3	78	shell-shallow	
cx	shell	shallow	3	24	shell-shallow	
cx	shell	shallow	3	36	shell-shallow	
cx	shell	shallow	3	64	shell-shallow	
cx	shell	shallow	3	100	shell-shallow	
cx	shell	shallow	3	92	shell-shallow	
cx	shell	shallow	3	88	shell-shallow	
cx	shell	shallow	3	64	shell-shallow	
cx	shell	shallow	3	56	shell-shallow	
cx	shell	shallow	3	82	shell-shallow	
cx	shell	shallow	3	100	shell-shallow	
cx	shell	shallow	3	92	shell-shallow	
